Ref,Val,Package,PosX,PosY,Rot,Side
"L-CL24A","100n","C1_C_0402_1005Metric",81.356000,-60.984900,-2.000000,bottom
"L-CL24B","4.7n","C1_C_0402_1005Metric",93.041300,-76.089100,-2.000000,bottom
"L-CL25A","100n","C1_C_0402_1005Metric",100.265500,-63.280300,0.000000,bottom
"L-CL25B","4.7n","C1_C_0402_1005Metric",106.051000,-73.913000,0.000000,bottom
"L-CL26A","100n","C1_C_0402_1005Metric",119.104600,-66.263400,4.000000,bottom
"L-CL26B","4.7n","C1_C_0402_1005Metric",129.983400,-81.958500,4.000000,bottom
"L-CL27A","100n","C1_C_0402_1005Metric",4.353000,-78.825000,0.000000,bottom
"L-CL27B","4.7n","C1_C_0402_1005Metric",17.553000,-92.625000,0.000000,bottom
"L-CL28A","100n","C1_C_0402_1005Metric",8.715000,-78.825000,0.000000,bottom
"L-CL28B","4.7n","C1_C_0402_1005Metric",22.315000,-92.625000,0.000000,bottom
"L-CL29A","100n","C1_C_0402_1005Metric",23.403000,-78.825000,0.000000,bottom
"L-CL29B","4.7n","C1_C_0402_1005Metric",36.603000,-92.625000,0.000000,bottom
"L-CL30A","100n","C1_C_0402_1005Metric",37.691000,-78.825000,0.000000,bottom
"L-CL30B","4.7n","C1_C_0402_1005Metric",50.891000,-92.625000,0.000000,bottom
"L-CL31A","100n","C1_C_0402_1005Metric",42.453000,-77.000000,0.000000,bottom
"L-CL31B","4.7n","C1_C_0402_1005Metric",55.653000,-92.625000,0.000000,bottom
"L-CL32A","100n","C1_C_0402_1005Metric",92.492000,-81.310000,-2.000000,bottom
"L-CL32B","4.7n","C1_C_0402_1005Metric",77.922000,-93.655000,-2.000000,bottom
"L-CL33A","100n","C1_C_0402_1005Metric",127.803000,-85.699000,-9.000000,bottom
"L-CL33B","4.7n","C1_C_0402_1005Metric",115.321000,-100.151000,-9.000000,bottom
"L-CML1","100n","C1_C_0402_1005Metric",38.971000,-51.649000,0.000000,bottom
"L-CML2","100n","C1_C_0402_1005Metric",39.471000,-43.649000,0.000000,bottom
"L-CML3","100n","C1_C_0402_1005Metric",68.701100,-57.574600,-3.000000,bottom
"L-CML4","100n","C1_C_0402_1005Metric",68.865000,-78.851000,0.000000,bottom
"L-CML5","100n","C1_C_0402_1005Metric",12.471000,-53.149000,0.000000,bottom
"L-CRGBL1","100n","C1_C_0402_1005Metric",18.510000,-14.875000,0.000000,bottom
"L-CRGBL2","100n","C1_C_0402_1005Metric",37.560000,-14.875000,0.000000,bottom
"L-CRGBL3","100n","C1_C_0402_1005Metric",56.610000,-14.875000,0.000000,bottom
